municipio,Model,Segment,Segment Start,Segment End,PPC,PPC 95% LCL,PPC 95% UCL,PPC Significant,Test Statistic,P-Value
BARANOA,4,0,2,10,37.1287,10.0248,104.1740,1,,0.024395
BARANOA,4,1,10,38,0.4943,-26.1069,6.5152,0,,0.731054
BARANOA,4,2,38,41,-45.9739,-55.1203,33.5055,0,,0.178764
BARANOA,4,3,41,68,-0.5358,-41.4818,4.6542,0,,0.700260
BARANOA,4,4,68,78,17.1033,2.2435,99.2613,1,,0.018796
CAMPO DE LA CRUZ,3,0,18,51,-4.9155,-10.9198,-1.5104,1,,0.029594
CAMPO DE LA CRUZ,3,1,51,56,82.1014,14.6615,234.5780,1,,0.041592
CAMPO DE LA CRUZ,3,2,56,63,-32.0029,-66.0046,-6.0126,1,,0.044791
CAMPO DE LA CRUZ,3,3,63,78,7.1317,-4.7737,38.9990,0,,0.173565
CANDELARIA,0,0,11,78,-1.4609,-2.9808,0.1834,0,,0.079984
GALAPA,3,0,1,13,23.2092,12.7495,42.8251,1,,0.000800
GALAPA,3,1,13,19,-30.6666,-59.1778,-10.5011,1,,0.000800
GALAPA,3,2,19,63,3.6316,2.1343,7.2127,1,,0.000800
GALAPA,3,3,63,78,-12.4206,-22.3927,-5.9036,1,,0.000800
JUAN DE ACOSTA,0,0,1,78,-0.8789,-1.7867,0.0142,0,,0.054389
LURUACO,2,0,9,49,4.6245,1.8031,8.8904,1,,0.014797
LURUACO,2,1,49,52,-57.7240,-69.0044,-11.5125,1,,0.024395
LURUACO,2,2,52,77,2.1700,-3.5091,17.8287,0,,0.308738
MALAMBO,4,0,1,4,83.8653,11.3971,237.7370,1,,0.014797
MALAMBO,4,1,4,21,-6.1343,-21.8877,-1.9292,1,,0.019996
MALAMBO,4,2,21,47,8.3634,5.8218,12.6667,1,,0.010398
MALAMBO,4,3,47,53,-28.3847,-51.5148,-14.2545,1,,0.005999
MALAMBO,4,4,53,78,-0.0447,-2.3152,3.0481,0,,0.947810
MANATÍ,3,0,1,52,-1.7154,-4.7814,0.6333,0,,0.140372
MANATÍ,3,1,52,60,36.4501,13.9225,175.3997,1,,0.007998
MANATÍ,3,2,60,63,-73.1535,-82.4593,-36.8248,1,,0.007199
MANATÍ,3,3,63,77,8.6821,-2.7776,30.3806,0,,0.106379
PALMAR DE VARELA,1,0,5,52,-3.2431,-17.8355,-0.2453,1,,0.039992
PALMAR DE VARELA,1,1,52,77,5.5332,-0.4620,69.9852,0,,0.077185
PIOJÓ,1,1,65,78,21.3043,3.5668,114.4728,1,,0.003599
PIOJÓ,1,0,5,65,-4.5358,-9.2728,-1.6756,1,,0.002799
POLONUEVO,2,0,1,7,49.3000,-1.1570,153.9946,0,,0.064387
POLONUEVO,2,1,7,66,-4.8631,-42.3621,-3.7017,1,,0.010398
POLONUEVO,2,2,66,78,14.9273,-2.7685,72.6310,0,,0.157568
PONEDERA,4,4,65,78,34.7737,25.3301,51.9602,1,,0.004399
PONEDERA,4,0,2,26,7.0627,2.4900,15.7532,1,,0.008398
PONEDERA,4,1,26,52,-8.2632,-20.6499,-5.3566,1,,0.010798
PONEDERA,4,2,52,62,19.5551,6.3431,100.5452,1,,0.015197
PONEDERA,4,3,62,65,-51.2115,-63.6779,-18.8629,1,,0.012398
PUERTO COLOMBIA,2,1,50,57,40.0552,10.4144,144.9191,1,,0.003199
PUERTO COLOMBIA,2,2,57,78,-11.9526,-17.4756,-7.9415,1,,0.002000
PUERTO COLOMBIA,2,0,1,50,-0.4242,-2.9608,1.4900,0,,0.607878
REPELÓN,2,0,10,32,15.6672,8.7462,27.8302,1,,0.000400
REPELÓN,2,1,32,51,-18.1445,-54.0768,-12.4045,1,,0.001200
REPELÓN,2,2,51,74,7.0213,-0.5941,20.7677,0,,0.065187
SABANAGRANDE,3,3,51,78,4.2284,-0.1571,10.7840,0,,0.057988
SABANAGRANDE,3,2,40,51,-24.1188,-39.1085,-14.6330,1,,0.009198
SABANAGRANDE,3,0,1,28,-2.7986,-13.0089,0.9440,0,,0.106779
SABANAGRANDE,3,1,28,40,20.4291,8.3745,133.6878,1,,0.010398
SABANALARGA,1,0,1,17,18.4037,11.5543,28.2736,1,,0.000000
SABANALARGA,1,1,17,78,-3.2062,-4.0633,-2.4569,1,,0.000000
SANTA LUCÍA,0,0,17,70,-4.7578,-10.2677,1.2815,0,,0.105179
SANTO TOMÁS,1,0,1,64,-1.9764,-8.8492,-0.2687,1,,0.039992
SANTO TOMÁS,1,1,64,78,10.7750,-0.4464,129.8673,0,,0.070786
SOLEDAD,1,0,1,18,-6.1870,-14.5917,-2.5374,1,,0.002000
SOLEDAD,1,1,18,78,1.7455,1.1071,2.5697,1,,0.000800
SUAN,0,0,6,77,0.8058,-0.9747,2.6536,0,,0.385923
TUBARÁ,0,0,7,77,-1.0507,-2.7821,0.8220,0,,0.238752
USIACURÍ,2,0,1,66,-2.7432,-4.3689,-1.4806,1,,0.000400
USIACURÍ,2,1,66,72,119.9957,58.6771,293.3727,1,,0.000400
USIACURÍ,2,2,72,78,-28.6171,-58.8016,-7.3830,1,,0.010398
