municipio,periodo_global,REM,Model,Flag,APC,Joinpoints,Final Selected Model
BARANOA,2,0.17,0.19,,37.1287*,4,4
BARANOA,59,0.28,0.39,,-0.5358,4,4
BARANOA,58,0.45,0.39,,-0.5358,4,4
BARANOA,57,0.22,0.39,,-0.5358,4,4
BARANOA,55,0.17,0.40,,-0.5358,4,4
BARANOA,54,0.09,0.40,,-0.5358,4,4
BARANOA,53,0.39,0.40,,-0.5358,4,4
BARANOA,60,0.73,0.39,,-0.5358,4,4
BARANOA,52,0.75,0.40,,-0.5358,4,4
BARANOA,50,0.63,0.41,,-0.5358,4,4
BARANOA,49,0.97,0.41,,-0.5358,4,4
BARANOA,48,0.52,0.41,,-0.5358,4,4
BARANOA,47,0.26,0.41,,-0.5358,4,4
BARANOA,46,0.26,0.42,,-0.5358,4,4
BARANOA,43,0.55,0.42,,-0.5358,4,4
BARANOA,51,0.77,0.41,,-0.5358,4,4
BARANOA,41,0.28,0.43,Joinpoint 3,,4,4
BARANOA,61,0.70,0.38,,-0.5358,4,4
BARANOA,63,0.66,0.38,,-0.5358,4,4
BARANOA,78,2.54,1.80,,17.1033*,4,4
BARANOA,77,2.06,1.53,,17.1033*,4,4
BARANOA,76,0.69,1.31,,17.1033*,4,4
BARANOA,75,1.43,1.12,,17.1033*,4,4
BARANOA,74,0.75,0.96,,17.1033*,4,4
BARANOA,73,0.91,0.82,,17.1033*,4,4
BARANOA,62,0.60,0.38,,-0.5358,4,4
BARANOA,72,0.29,0.70,,17.1033*,4,4
BARANOA,70,0.45,0.51,,17.1033*,4,4
BARANOA,69,0.83,0.43,,17.1033*,4,4
BARANOA,68,0.31,0.37,Joinpoint 4,,4,4
BARANOA,66,0.45,0.37,,-0.5358,4,4
BARANOA,65,0.19,0.38,,-0.5358,4,4
BARANOA,64,0.49,0.38,,-0.5358,4,4
BARANOA,71,0.92,0.60,,17.1033*,4,4
BARANOA,40,0.85,0.79,,-45.9739,4,4
BARANOA,67,0.20,0.37,,-0.5358,4,4
BARANOA,38,2.90,2.72,Joinpoint 2,,4,4
BARANOA,17,0.81,2.45,,0.4943,4,4
BARANOA,16,5.50,2.44,,0.4943,4,4
BARANOA,15,2.21,2.43,,0.4943,4,4
BARANOA,14,4.10,2.41,,0.4943,4,4
BARANOA,13,3.59,2.40,,0.4943,4,4
BARANOA,11,2.26,2.38,,0.4943,4,4
BARANOA,18,1.64,2.46,,0.4943,4,4
BARANOA,10,3.42,2.37,Joinpoint 1,,4,4
BARANOA,8,1.19,1.26,,37.1287*,4,4
BARANOA,7,0.63,0.92,,37.1287*,4,4
BARANOA,6,0.72,0.67,,37.1287*,4,4
BARANOA,5,0.42,0.49,,37.1287*,4,4
BARANOA,4,0.56,0.36,,37.1287*,4,4
BARANOA,39,1.74,1.47,,-45.9739,4,4
BARANOA,9,1.84,1.73,,37.1287*,4,4
BARANOA,19,1.00,2.47,,0.4943,4,4
BARANOA,12,1.85,2.39,,0.4943,4,4
BARANOA,21,1.97,2.50,,0.4943,4,4
BARANOA,20,0.99,2.49,,0.4943,4,4
BARANOA,36,2.20,2.69,,0.4943,4,4
BARANOA,35,4.27,2.68,,0.4943,4,4
BARANOA,34,4.52,2.66,,0.4943,4,4
BARANOA,32,0.69,2.64,,0.4943,4,4
BARANOA,37,2.78,2.70,,0.4943,4,4
BARANOA,29,1.51,2.60,,0.4943,4,4
BARANOA,28,2.37,2.59,,0.4943,4,4
BARANOA,30,1.92,2.61,,0.4943,4,4
BARANOA,26,4.16,2.56,,0.4943,4,4
BARANOA,25,4.28,2.55,,0.4943,4,4
BARANOA,24,5.29,2.54,,0.4943,4,4
BARANOA,23,6.79,2.52,,0.4943,4,4
BARANOA,22,3.64,2.51,,0.4943,4,4
BARANOA,27,3.00,2.57,,0.4943,4,4
CAMPO DE LA CRUZ,58,2.69,2.26,,-32.0029*,3,3
CAMPO DE LA CRUZ,57,1.77,3.33,,-32.0029*,3,3
CAMPO DE LA CRUZ,59,2.49,1.54,,-32.0029*,3,3
CAMPO DE LA CRUZ,60,1.34,1.05,,-32.0029*,3,3
CAMPO DE LA CRUZ,61,0.97,0.71,,-32.0029*,3,3
CAMPO DE LA CRUZ,62,0.45,0.48,,-32.0029*,3,3
CAMPO DE LA CRUZ,63,0.20,0.33,Joinpoint 3,,3,3
CAMPO DE LA CRUZ,64,0.18,0.35,,7.1317,3,3
CAMPO DE LA CRUZ,75,0.65,0.75,,7.1317,3,3
CAMPO DE LA CRUZ,70,0.62,0.53,,7.1317,3,3
CAMPO DE LA CRUZ,71,0.85,0.57,,7.1317,3,3
CAMPO DE LA CRUZ,72,2.42,0.61,,7.1317,3,3
CAMPO DE LA CRUZ,73,0.91,0.65,,7.1317,3,3
CAMPO DE LA CRUZ,74,0.35,0.70,,7.1317,3,3
CAMPO DE LA CRUZ,56,3.46,4.89,Joinpoint 2,,3,3
CAMPO DE LA CRUZ,78,0.50,0.92,,7.1317,3,3
CAMPO DE LA CRUZ,68,0.42,0.46,,7.1317,3,3
CAMPO DE LA CRUZ,55,2.36,2.69,,82.1014*,3,3
CAMPO DE LA CRUZ,25,0.35,0.91,,-4.9155*,3,3
CAMPO DE LA CRUZ,53,0.36,0.81,,82.1014*,3,3
CAMPO DE LA CRUZ,18,0.89,1.29,,-4.9155*,3,3
CAMPO DE LA CRUZ,20,3.16,1.17,,-4.9155*,3,3
CAMPO DE LA CRUZ,54,4.26,1.47,,82.1014*,3,3
CAMPO DE LA CRUZ,22,1.47,1.05,,-4.9155*,3,3
CAMPO DE LA CRUZ,23,0.88,1.00,,-4.9155*,3,3
CAMPO DE LA CRUZ,24,0.53,0.95,,-4.9155*,3,3
CAMPO DE LA CRUZ,26,1.07,0.86,,-4.9155*,3,3
CAMPO DE LA CRUZ,27,0.49,0.82,,-4.9155*,3,3
CAMPO DE LA CRUZ,21,1.43,1.11,,-4.9155*,3,3
CAMPO DE LA CRUZ,34,1.77,0.58,,-4.9155*,3,3
CAMPO DE LA CRUZ,46,0.70,0.31,,-4.9155*,3,3
CAMPO DE LA CRUZ,47,0.36,0.30,,-4.9155*,3,3
CAMPO DE LA CRUZ,49,0.22,0.27,,-4.9155*,3,3
CAMPO DE LA CRUZ,50,0.10,0.26,,-4.9155*,3,3
CAMPO DE LA CRUZ,51,0.22,0.24,Joinpoint 1,,3,3
CAMPO DE LA CRUZ,52,0.72,0.44,,82.1014*,3,3
CAMPO DE LA CRUZ,29,0.52,0.74,,-4.9155*,3,3
CANDELARIA,58,0.69,0.57,,-1.4609,0,0
CANDELARIA,59,0.54,0.56,,-1.4609,0,0
CANDELARIA,60,0.57,0.55,,-1.4609,0,0
CANDELARIA,61,0.45,0.54,,-1.4609,0,0
CANDELARIA,74,1.94,0.45,,-1.4609,0,0
CANDELARIA,64,0.13,0.52,,-1.4609,0,0
CANDELARIA,67,0.51,0.50,,-1.4609,0,0
CANDELARIA,78,0.70,0.42,,-1.4609,0,0
CANDELARIA,57,0.83,0.58,,-1.4609,0,0
CANDELARIA,63,0.28,0.53,,-1.4609,0,0
CANDELARIA,49,0.16,0.65,,-1.4609,0,0
CANDELARIA,21,1.53,0.98,,-1.4609,0,0
CANDELARIA,26,0.76,0.91,,-1.4609,0,0
CANDELARIA,25,0.50,0.92,,-1.4609,0,0
CANDELARIA,24,3.05,0.94,,-1.4609,0,0
CANDELARIA,23,1.89,0.95,,-1.4609,0,0
CANDELARIA,22,1.58,0.96,,-1.4609,0,0
CANDELARIA,20,1.93,0.99,,-1.4609,0,0
CANDELARIA,19,1.29,1.01,,-1.4609,0,0
CANDELARIA,18,1.28,1.02,,-1.4609,0,0
CANDELARIA,11,0.37,1.13,,-1.4609,0,0
CANDELARIA,27,0.35,0.90,,-1.4609,0,0
GALAPA,60,1.94,1.29,,3.6316*,3,3
GALAPA,59,0.66,1.24,,3.6316*,3,3
GALAPA,58,1.02,1.20,,3.6316*,3,3
GALAPA,57,0.45,1.16,,3.6316*,3,3
GALAPA,56,1.31,1.12,,3.6316*,3,3
GALAPA,55,0.90,1.08,,3.6316*,3,3
GALAPA,50,1.00,0.90,,3.6316*,3,3
GALAPA,52,1.63,0.97,,3.6316*,3,3
GALAPA,51,1.35,0.94,,3.6316*,3,3
GALAPA,61,2.38,1.34,,3.6316*,3,3
GALAPA,49,1.21,0.87,,3.6316*,3,3
GALAPA,48,0.36,0.84,,3.6316*,3,3
